project_id|council|city|constituency|ward|project_title|project_type|status|funding_source|source_url|extraction_date
LCC-COM-01|Lusaka City Council|Lusaka|Kanyama||CDF gives Twashuka Combined School its first ever double storey classroom block|Education|Completed|CDF|https://www.lcc.gov.zm/completed-projects/|2026-09-13
LCC-COM-02|Lusaka City Council|Lusaka|Mandevu||A newly constructed ablution block at Olympia Market in Mandevu Constituency|Market Infrastructure|Completed|CDF|https://www.lcc.gov.zm/completed-projects/|2026-09-13
