|NAME: LUSAKA CITY COUNCIL|||||||||||
|2026  PERFORMANCE REPORT|||Period: 01-Jan-2026 to 30-Jun-2026||||||||
|REVENUE SOURCES|||||||||||
|#|Receipts|Budget|Actual|Varinace|Performance||||||
||||as at 30-Jun- 2026||||||||
|||a|b|c=a-b|b/a||||||
|||ZMW|ZMW|ZMW|%||||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Ward Development Committee Operationalised||||||||||
||    Number of ward development committees operationalised||38||0|0|-38|0|||
||    Number of Ward Development Committees trained||38||0|0|-38|0|||
||Ward Development Committee Elections Conducted||||||||||
||    Number of Ward Development Committee elections conducted||38||0|0|-38|0|||
||Policies Formulated and Coordinated||||||||||
||    Number of policies formulated||2||0|0|-2|0|||
||Legislative Oversight Strengthened||||||||||
||    Percentage of council resolutions implemented||100%||100%|0|0|1|||
||Council Resolutions Implemented||||||||||
||    Number of full council meetings held||4||1|0|-3|0.25|||
||    Number of Special Full Council meetings held||2||1|0|-1|0.5|||
||By-laws Reviewed & Updated||||||||||
||    Number of by-laws reviewed & updated||2||1|0|-1|0.5|||
||Ward Development Fund Projects Implemented||||||||||
||    Number of ward development fund projects completed||38||14|0|-24|0.3684210526315789|||
||Civic Education Campaigns Implemented||||||||||
||    Number of campaigns conducted||38||0|0|-38|0|||
||Integrated Development Planning|33835152||8385524.57||-25449627.43|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Development Control on Permanent and Temporal Structures Conducted||||||||||
||    Number of processed building plans approved||1440||565|0|-875|0.3923611111111111|||
||    Number of illegal structures demolished||25||6|0|-19|0.24|||
||Outdoor Advertisement and Planning Permissions Processed||||||||||
||    Number of billboard applications processed||60||38|0|-22|0.6333333333333333|||
||Land Survey and Mappings Conducted||||||||||
||    Number of land boundary disputes applications processed||100||65|0|-35|0.65|||
||    Number of beacon identifications conducted||100||65|0|-35|0.65|||
||    Number of maps and survey diagrams prepared||100||80|0|-20|0.8|||
||Local Area Plans Formulated||||||||||
||    Number of Local Area Plans formulated||1||0|0|-1|0|||
||Citizen Sensitisation on IDP Conducted||||||||||
||    Number of Community Sensitisation Events conducted||76||11|0|-65|0.14473684210526316|||
||Stakeholder Engagement Conducted||||||||||
||    Number of Stakeholder Meetings held||16||5|0|-11|0.3125|||
